time	V(n002)
9.113691264217108e-007	-3.028957e+001
9.154548407074340e-007	-3.023694e+001
9.195405549931573e-007	-3.018420e+001
9.236262692788806e-007	-3.013133e+001
9.277119835646038e-007	-3.007834e+001
9.292548407074643e-007	-3.005830e+001
9.307976978503248e-007	-3.003824e+001
9.323405549931853e-007	-3.001816e+001
9.338834121360459e-007	-2.999807e+001
9.354262692789064e-007	-2.997796e+001
9.369691264217669e-007	-2.995783e+001
9.385119835646275e-007	-2.993769e+001
9.411976978503476e-007	-2.990258e+001
9.438834121360678e-007	-2.986742e+001
9.465691264217880e-007	-2.983220e+001
9.492548407075081e-007	-2.979694e+001
9.519405549932283e-007	-2.976162e+001
9.546262692789485e-007	-2.972625e+001
9.573119835646687e-007	-2.969083e+001
9.591119835646726e-007	-2.966706e+001
9.633976978503963e-007	-2.961038e+001
9.676834121361199e-007	-2.955356e+001
9.719691264218436e-007	-2.949662e+001
9.762548407075674e-007	-2.943954e+001
9.805405549932911e-007	-2.938233e+001
9.848262692790148e-007	-2.932499e+001
9.891119835647384e-007	-2.926752e+001
9.933691264218905e-007	-2.921031e+001
9.976262692790428e-007	-2.915296e+001
1.001883412136195e-006	-2.909549e+001
1.006140554993347e-006	-2.903789e+001
1.010397697850499e-006	-2.898017e+001
1.014654840707652e-006	-2.892232e+001
1.018911983564804e-006	-2.886434e+001
1.019111983564804e-006	-2.886161e+001
1.024854840707674e-006	-2.878318e+001
1.030597697850544e-006	-2.870453e+001
1.036340554993413e-006	-2.862565e+001
1.042083412136283e-006	-2.854654e+001
1.047826269279153e-006	-2.846720e+001
1.053569126422023e-006	-2.838763e+001
1.059311983564892e-006	-2.830784e+001
1.062111983564899e-006	-2.826885e+001
1.064911983564905e-006	-2.822981e+001
1.067711983564911e-006	-2.819071e+001
1.070511983564917e-006	-2.815156e+001
1.073311983564923e-006	-2.811236e+001
1.076111983564929e-006	-2.807310e+001
1.078911983564935e-006	-2.803379e+001
1.079111983564936e-006	-2.803098e+001
1.086569126422095e-006	-2.792601e+001
1.094026269279254e-006	-2.782067e+001
1.101483412136413e-006	-2.771495e+001
1.108940554993573e-006	-2.760885e+001
1.116397697850732e-006	-2.750238e+001
1.123854840707891e-006	-2.739553e+001
1.131311983565050e-006	-2.728830e+001
1.132397697850767e-006	-2.727266e+001
1.133483412136484e-006	-2.725701e+001
1.134569126422200e-006	-2.724135e+001
1.135654840707917e-006	-2.722568e+001
1.136740554993634e-006	-2.721001e+001
1.137826269279350e-006	-2.719433e+001
1.138911983565067e-006	-2.717864e+001
1.139111983565067e-006	-2.717575e+001
1.145883412136511e-006	-2.707770e+001
1.152654840707954e-006	-2.697936e+001
1.159426269279398e-006	-2.688071e+001
1.166197697850841e-006	-2.678177e+001
1.172969126422285e-006	-2.668252e+001
1.179740554993728e-006	-2.658298e+001
1.186511983565171e-006	-2.648313e+001
1.199111983565199e-006	-2.629656e+001
1.206597697850930e-006	-2.618524e+001
1.214083412136660e-006	-2.607357e+001
1.221569126422391e-006	-2.596156e+001
1.229054840708122e-006	-2.584921e+001
1.236540554993852e-006	-2.573651e+001
1.244026269279583e-006	-2.562347e+001
1.251511983565314e-006	-2.551009e+001
1.252569126422459e-006	-2.549405e+001
1.253626269279604e-006	-2.547801e+001
1.254683412136749e-006	-2.546196e+001
1.255740554993895e-006	-2.544590e+001
1.256797697851040e-006	-2.542984e+001
1.257854840708185e-006	-2.541377e+001
1.258911983565330e-006	-2.539769e+001
1.259111983565330e-006	-2.539465e+001
1.260197697851047e-006	-2.537813e+001
1.261283412136764e-006	-2.536161e+001
1.262369126422480e-006	-2.534507e+001
1.263454840708197e-006	-2.532853e+001
1.264540554993914e-006	-2.531199e+001
1.265626269279631e-006	-2.529544e+001
1.266711983565347e-006	-2.527888e+001
1.267940554993921e-006	-2.526013e+001
1.269169126422495e-006	-2.524137e+001
1.270397697851069e-006	-2.522261e+001
1.271626269279644e-006	-2.520383e+001
1.272854840708218e-006	-2.518505e+001
1.274083412136792e-006	-2.516626e+001
1.275311983565366e-006	-2.514746e+001
1.280854840708235e-006	-2.506254e+001
1.286397697851105e-006	-2.497745e+001
1.291940554993974e-006	-2.489218e+001
1.297483412136843e-006	-2.480675e+001
1.303026269279713e-006	-2.472115e+001
1.308569126422582e-006	-2.463537e+001
1.314111983565451e-006	-2.454943e+001
1.319111983565462e-006	-2.447176e+001
1.327654840708338e-006	-2.433874e+001
1.336197697851214e-006	-2.420533e+001
1.344740554994090e-006	-2.407154e+001
1.353283412136965e-006	-2.393736e+001
1.361826269279841e-006	-2.380280e+001
1.370369126422717e-006	-2.366785e+001
1.378911983565593e-006	-2.353251e+001
1.379111983565594e-006	-2.352934e+001
1.386826269279896e-006	-2.340679e+001
1.394540554994199e-006	-2.328394e+001
1.402254840708502e-006	-2.316078e+001
1.409969126422804e-006	-2.303732e+001
1.417683412137107e-006	-2.291355e+001
1.425397697851409e-006	-2.278947e+001
1.433111983565712e-006	-2.266508e+001
1.433940554994285e-006	-2.265171e+001
1.434769126422858e-006	-2.263832e+001
1.435597697851432e-006	-2.262494e+001
1.436426269280005e-006	-2.261155e+001
1.437254840708578e-006	-2.259816e+001
1.438083412137151e-006	-2.258477e+001
1.438911983565725e-006	-2.257137e+001
1.439111983565725e-006	-2.256813e+001
1.445054840708595e-006	-2.247192e+001
1.450997697851465e-006	-2.237553e+001
1.456940554994336e-006	-2.227897e+001
1.462883412137206e-006	-2.218222e+001
1.468826269280076e-006	-2.208530e+001
1.474769126422946e-006	-2.198820e+001
1.480711983565816e-006	-2.189092e+001
1.483311983565822e-006	-2.184831e+001
1.485911983565828e-006	-2.180566e+001
1.488511983565833e-006	-2.176297e+001
1.491111983565839e-006	-2.172026e+001
1.493711983565845e-006	-2.167751e+001
1.496311983565851e-006	-2.163473e+001
1.498911983565856e-006	-2.159191e+001
1.499111983565857e-006	-2.158861e+001
1.501483412137290e-006	-2.154953e+001
1.503854840708724e-006	-2.151042e+001
1.506226269280158e-006	-2.147128e+001
1.508597697851592e-006	-2.143211e+001
1.510969126423025e-006	-2.139291e+001
1.513340554994459e-006	-2.135369e+001
1.515711983565893e-006	-2.131444e+001
1.521883412137335e-006	-2.121216e+001
1.528054840708777e-006	-2.110969e+001
1.534226269280219e-006	-2.100703e+001
1.540397697851662e-006	-2.090419e+001
1.546569126423104e-006	-2.080116e+001
1.552740554994546e-006	-2.069794e+001
1.558911983565988e-006	-2.059453e+001
1.559111983565988e-006	-2.059118e+001
1.567654840708864e-006	-2.044772e+001
1.576197697851740e-006	-2.030391e+001
1.584740554994616e-006	-2.015975e+001
1.593283412137492e-006	-2.001524e+001
1.601826269280368e-006	-1.987037e+001
1.610369126423244e-006	-1.972515e+001
1.618911983566119e-006	-1.957959e+001
1.619111983566120e-006	-1.957618e+001
1.624140554994702e-006	-1.949033e+001
1.629169126423285e-006	-1.940436e+001
1.634197697851867e-006	-1.931828e+001
1.639226269280450e-006	-1.923208e+001
1.644254840709032e-006	-1.914577e+001
1.649283412137615e-006	-1.905933e+001
1.654311983566197e-006	-1.897278e+001
1.656397697851916e-006	-1.893685e+001
1.658483412137635e-006	-1.890090e+001
1.660569126423354e-006	-1.886493e+001
1.662654840709073e-006	-1.882893e+001
1.664740554994791e-006	-1.879292e+001
1.666826269280510e-006	-1.875689e+001
1.668911983566229e-006	-1.872084e+001
1.670340554994804e-006	-1.869613e+001
1.671769126423378e-006	-1.867142e+001
1.673197697851953e-006	-1.864669e+001
1.674626269280527e-006	-1.862196e+001
1.676054840709102e-006	-1.859721e+001
1.677483412137676e-006	-1.857246e+001
1.678911983566251e-006	-1.854769e+001
1.679111983566251e-006	-1.854422e+001
1.680483412137683e-006	-1.852044e+001
1.681854840709115e-006	-1.849664e+001
1.683226269280546e-006	-1.847284e+001
1.684597697851978e-006	-1.844902e+001
1.685969126423409e-006	-1.842519e+001
1.687340554994841e-006	-1.840135e+001
1.688711983566272e-006	-1.837750e+001
1.690997697851992e-006	-1.833773e+001
1.693283412137711e-006	-1.829792e+001
1.695569126423430e-006	-1.825808e+001
1.697854840709150e-006	-1.821819e+001
1.700140554994869e-006	-1.817827e+001
1.702426269280588e-006	-1.813831e+001
1.704711983566308e-006	-1.809832e+001
1.706169126423454e-006	-1.807280e+001
1.707626269280600e-006	-1.804726e+001
1.709083412137746e-006	-1.802171e+001
1.710540554994892e-006	-1.799615e+001
1.711997697852038e-006	-1.797058e+001
1.713454840709184e-006	-1.794499e+001
1.714911983566330e-006	-1.791939e+001
1.717197697852049e-006	-1.787920e+001
1.719483412137768e-006	-1.783901e+001
1.721769126423488e-006	-1.779880e+001
1.724054840709207e-006	-1.775858e+001
1.726340554994926e-006	-1.771834e+001
1.728626269280646e-006	-1.767810e+001
1.730911983566365e-006	-1.763784e+001
1.732054840709225e-006	-1.761771e+001
