time	V(realim)
1.563495231719347e-004	1.172864e+001
1.575411137929124e-004	1.178684e+001
1.593394218291720e-004	1.187322e+001
1.682343412898971e-004	1.227430e+001
1.770234037898975e-004	1.263507e+001
1.858124662898978e-004	1.296042e+001
1.946015287898981e-004	1.324625e+001
2.033905912898985e-004	1.349169e+001
2.121796537898988e-004	1.369602e+001
2.209687162898991e-004	1.385862e+001
2.297577787898995e-004	1.397900e+001
2.385468412898998e-004	1.405679e+001
2.473359037899001e-004	1.409177e+001
2.561249662899005e-004	1.408382e+001
2.649140287899008e-004	1.403298e+001
2.737030912899011e-004	1.393939e+001
2.824921537899015e-004	1.380334e+001
2.912812162899018e-004	1.362522e+001
3.000702787899021e-004	1.340558e+001
3.088593412899025e-004	1.314507e+001
3.176484037899028e-004	1.284448e+001
3.264374662899031e-004	1.250471e+001
3.352265287899035e-004	1.212679e+001
3.440155912899038e-004	1.171723e+001
3.474889284896367e-004	1.154592e+001
3.495884632278732e-004	1.143874e+001
3.505288156756513e-004	1.139006e+001
3.511384442641272e-004	1.135834e+001
3.514044028661064e-004	1.134451e+001
3.515304929005833e-004	1.133794e+001
3.516467699148339e-004	1.133186e+001
3.517149932228169e-004	1.132830e+001
3.517921428551870e-004	1.132429e+001
3.518575068147262e-004	1.132089e+001
3.519263263459891e-004	1.131730e+001
3.520001808041320e-004	1.131346e+001
3.521039419068194e-004	1.130806e+001
3.522591166910810e-004	1.129999e+001
3.524352998405395e-004	1.129083e+001
3.526068350220022e-004	1.128191e+001
3.528858552122004e-004	1.126739e+001
3.534438955925968e-004	1.123830e+001
3.542671559628599e-004	1.119509e+001
3.553667493010129e-004	1.113668e+001
3.561398430350559e-004	1.109505e+001
3.568983219064273e-004	1.105375e+001
3.572989729328452e-004	1.103173e+001
3.575326514683652e-004	1.101878e+001
3.577739028924340e-004	1.100534e+001
3.579066902013048e-004	1.099791e+001
3.580469456046509e-004	1.099001e+001
3.581969952287569e-004	1.098150e+001
3.584970944769689e-004	1.096437e+001
3.586356202434603e-004	1.095644e+001
3.587228121159410e-004	1.095146e+001
3.587945812472682e-004	1.094742e+001
3.588690109375655e-004	1.094329e+001
3.589233550259077e-004	1.094031e+001
3.589837723505050e-004	1.093704e+001
3.590499554032359e-004	1.093347e+001
3.591124859279246e-004	1.093009e+001
3.591970062620980e-004	1.092548e+001
3.592469381255925e-004	1.092272e+001
3.592942263186804e-004	1.092009e+001
3.593449795154888e-004	1.091725e+001
3.594050073499680e-004	1.091388e+001
3.594691815384001e-004	1.091027e+001
3.595520108441068e-004	1.090562e+001
3.596118183546611e-004	1.090226e+001
3.596777715690266e-004	1.089857e+001
3.597633906580848e-004	1.089377e+001
3.598584384192386e-004	1.088843e+001
3.600485339415463e-004	1.087775e+001
3.602339269277496e-004	1.086731e+001
3.604203150405841e-004	1.085680e+001
3.606011946124636e-004	1.084658e+001
3.608001411298228e-004	1.083533e+001
3.609943333440120e-004	1.082433e+001
3.612120252115920e-004	1.081197e+001
3.614336871219379e-004	1.079937e+001
3.616876007348857e-004	1.078491e+001
3.619617437400115e-004	1.076927e+001
3.622862978174546e-004	1.075071e+001
3.626622159791423e-004	1.072915e+001
3.631314138111798e-004	1.070216e+001
3.637251759853405e-004	1.066786e+001
3.645397269944617e-004	1.062054e+001
3.657291323036077e-004	1.055088e+001
3.677241415600890e-004	1.043248e+001
3.712208022255701e-004	1.022215e+001
3.723129795312327e-004	1.015557e+001
3.731532635601071e-004	1.010379e+001
3.734719333124935e-004	1.008406e+001
3.739114484412297e-004	1.005675e+001
3.741412596379220e-004	1.004244e+001
3.744278103608055e-004	1.002457e+001
3.747089688103753e-004	1.000701e+001
3.750103235894021e-004	9.988142e+000
3.754616600127750e-004	9.959825e+000
3.759111463608657e-004	9.931532e+000
3.768101190570481e-004	9.874703e+000
3.778005195321857e-004	9.811681e+000
3.797813204824609e-004	9.684455e+000
3.820672850533185e-004	9.535929e+000
3.845701155447837e-004	9.371139e+000
3.869717659923493e-004	9.210972e+000
3.888836478568424e-004	9.081971e+000
3.905858044492856e-004	8.965893e+000
3.925575616037886e-004	8.830123e+000
3.944077153689631e-004	8.701415e+000
3.969744196546405e-004	8.520968e+000
3.991212695819068e-004	8.368446e+000
4.013142481948447e-004	8.210834e+000
4.043656292483091e-004	7.988998e+000
4.071642723154686e-004	7.783107e+000
4.100536461226264e-004	7.567732e+000
4.139027058857325e-004	7.276469e+000
4.195610207335986e-004	6.839843e+000
4.283500832335989e-004	6.145903e+000
4.371391457335993e-004	5.434952e+000
4.459282082335996e-004	4.707256e+000
4.547172707335999e-004	3.965052e+000
4.635063332336003e-004	3.210623e+000
4.722953957336006e-004	2.447085e+000
4.771289997694767e-004	2.023661e+000
4.816062099387468e-004	1.629366e+000
4.839992489704655e-004	1.417969e+000
4.868093067117944e-004	1.169138e+000
4.910371756597556e-004	7.941819e-001
4.929749634247247e-004	6.221304e-001
4.956527303584769e-004	3.841777e-001
4.996322975153031e-004	3.042454e-002
5.032989463010515e-004	-2.954905e-001
5.073650123510031e-004	-6.566898e-001
5.112687519812130e-004	-1.003069e+000
5.146566330597154e-004	-1.303197e+000
5.178713174632862e-004	-1.587486e+000
5.201166430055656e-004	-1.785717e+000
5.217383556062180e-004	-1.928661e+000
5.233968032370001e-004	-2.074629e+000
5.249768120386585e-004	-2.213485e+000
5.266988385903030e-004	-2.364576e+000
5.283319108928845e-004	-2.507616e+000
5.299391617962545e-004	-2.648131e+000
5.316181173340775e-004	-2.794624e+000
5.333122741396886e-004	-2.942125e+000
5.351359830915500e-004	-3.100512e+000
5.372986080488624e-004	-3.287778e+000
5.398989559853469e-004	-3.512091e+000
5.432527468185100e-004	-3.799896e+000
5.477125575611220e-004	-4.179666e+000
5.542315629253700e-004	-4.728234e+000
5.630206254253704e-004	-5.455626e+000
5.718096879253707e-004	-6.167237e+000
5.805987504253710e-004	-6.859993e+000
5.893878129253714e-004	-7.531775e+000
5.981768754253717e-004	-8.180533e+000
6.069659379253720e-004	-8.804286e+000
6.157550004253724e-004	-9.401130e+000
6.245440629253727e-004	-9.974000e+000
6.278871578691463e-004	-1.018482e+001
6.290116492848226e-004	-1.025419e+001
6.295263769390659e-004	-1.028567e+001
6.298120532900612e-004	-1.030308e+001
6.300656381215686e-004	-1.031849e+001
6.303432551057692e-004	-1.033533e+001
6.306312714556986e-004	-1.035276e+001
6.309630517358153e-004	-1.037279e+001
6.313406211064729e-004	-1.039552e+001
6.318152813254126e-004	-1.042400e+001
6.324919347405781e-004	-1.046444e+001
6.334324569410759e-004	-1.052037e+001
6.344491579191990e-004	-1.058041e+001
6.357698345259557e-004	-1.065767e+001
6.377783668789164e-004	-1.077356e+001
6.410083794496872e-004	-1.095706e+001
6.424877626330858e-004	-1.103962e+001
6.434781322160960e-004	-1.109393e+001
6.446444916778440e-004	-1.115725e+001
6.455901324142928e-004	-1.120833e+001
6.463487439066244e-004	-1.124920e+001
6.469774283875008e-004	-1.128301e+001
6.477316817183332e-004	-1.132340e+001
6.484904845085061e-004	-1.136379e+001
6.487786938991248e-004	-1.137907e+001
6.491096946756965e-004	-1.139655e+001
6.495226628394071e-004	-1.141826e+001
6.498145826243180e-004	-1.143356e+001
6.501868405308225e-004	-1.145302e+001
6.505020265721809e-004	-1.146944e+001
6.508959304066886e-004	-1.148989e+001
6.512827015102609e-004	-1.150991e+001
6.517338964199702e-004	-1.153317e+001
6.522268993826436e-004	-1.155848e+001
6.527557919807090e-004	-1.158550e+001
6.534070471022821e-004	-1.161860e+001
6.539932253728266e-004	-1.164824e+001
6.547120200469814e-004	-1.168433e+001
