time	V(realim)
3.521986803873226e-004	1.133279e+001
3.550209946102771e-004	1.118143e+001
3.573744875957846e-004	1.105222e+001
3.592588046354870e-004	1.094688e+001
3.611312725149531e-004	1.084052e+001
3.633571029669665e-004	1.071208e+001
3.658155279474907e-004	1.056784e+001
3.684422628463177e-004	1.041066e+001
3.723363011063864e-004	1.017168e+001
3.783982419712246e-004	9.787822e+000
3.855139765274827e-004	9.319672e+000
3.943030390274830e-004	8.716806e+000
4.030921015274833e-004	8.088708e+000
4.118811640274837e-004	7.435915e+000
4.206702265274840e-004	6.760417e+000
4.294592890274843e-004	6.064275e+000
4.382483515274847e-004	5.349610e+000
4.470374140274850e-004	4.618602e+000
4.558264765274853e-004	3.873479e+000
4.646155390274857e-004	3.116514e+000
4.734046015274860e-004	2.350015e+000
4.821936640274863e-004	1.576319e+000
4.909827265274867e-004	7.977845e-001
4.997717890274870e-004	1.678666e-002
5.085608515274873e-004	-7.642934e-001
5.173499140274877e-004	-1.543074e+000
5.261389765274880e-004	-2.317180e+000
5.349280390274883e-004	-3.084252e+000
5.437171015274887e-004	-3.841949e+000
5.525061640274890e-004	-4.587963e+000
5.612952265274893e-004	-5.320017e+000
5.700842890274897e-004	-6.035880e+000
5.788733515274900e-004	-6.733369e+000
5.876624140274903e-004	-7.410358e+000
5.964514765274907e-004	-8.064782e+000
6.052405390274910e-004	-8.694646e+000
6.140296015274913e-004	-9.298030e+000
6.228186640274917e-004	-9.873095e+000
6.316077265274920e-004	-1.041946e+001
6.388963619362040e-004	-1.085203e+001
6.418328299135877e-004	-1.101996e+001
6.434443302680030e-004	-1.110993e+001
6.441854793402067e-004	-1.115084e+001
6.446641235472025e-004	-1.117709e+001
6.450778783895581e-004	-1.119969e+001
6.454157032008889e-004	-1.121809e+001
6.457164888866952e-004	-1.123443e+001
6.460165518190160e-004	-1.125068e+001
6.463292074790836e-004	-1.126757e+001
6.466457111418732e-004	-1.128462e+001
6.469844061101253e-004	-1.130281e+001
6.473526130924443e-004	-1.132253e+001
6.477697770953675e-004	-1.134478e+001
6.482499246277754e-004	-1.137029e+001
6.488383701856700e-004	-1.140140e+001
6.496858018005961e-004	-1.144591e+001
6.508632218897381e-004	-1.150725e+001
6.521352780484860e-004	-1.157280e+001
6.537871037407706e-004	-1.165669e+001
6.562522915332675e-004	-1.177925e+001
6.601523012762338e-004	-1.196875e+001
6.618066120925087e-004	-1.204731e+001
6.632704111562138e-004	-1.211558e+001
6.637305314944565e-004	-1.213681e+001
6.644811493174922e-004	-1.217114e+001
6.651904532654030e-004	-1.220336e+001
6.658526380513260e-004	-1.223323e+001
6.663880239591883e-004	-1.225722e+001
6.669782195544939e-004	-1.228349e+001
6.675377098098300e-004	-1.230824e+001
6.681274343044224e-004	-1.233416e+001
6.687901987920981e-004	-1.236309e+001
6.694309332892804e-004	-1.239083e+001
6.703971422632521e-004	-1.243229e+001
6.713277978651283e-004	-1.247176e+001
6.728872415788494e-004	-1.253688e+001
6.746665054834268e-004	-1.260968e+001
6.772480705104483e-004	-1.271227e+001
6.807072115288760e-004	-1.284434e+001
6.853036374034078e-004	-1.300984e+001
6.917445604982548e-004	-1.322254e+001
7.003593498099477e-004	-1.347491e+001
7.091484123099481e-004	-1.369420e+001
7.179374748099484e-004	-1.387197e+001
7.267265373099487e-004	-1.400748e+001
7.355155998099491e-004	-1.410030e+001
7.443046623099494e-004	-1.415016e+001
7.530937248099497e-004	-1.415691e+001
7.618827873099501e-004	-1.412052e+001
7.706718498099504e-004	-1.404110e+001
7.794609123099507e-004	-1.391890e+001
7.882499748099511e-004	-1.375429e+001
7.970390373099514e-004	-1.354778e+001
8.058280998099517e-004	-1.329998e+001
8.146171623099521e-004	-1.301166e+001
8.234062248099524e-004	-1.268369e+001
8.321952873099527e-004	-1.232282e+001
8.356106531537729e-004	-1.217320e+001
8.370708410484875e-004	-1.210661e+001
8.385657253722348e-004	-1.203722e+001
8.391775043553292e-004	-1.200847e+001
8.401816453040452e-004	-1.196081e+001
8.410220460759637e-004	-1.192058e+001
8.420270253280057e-004	-1.187196e+001
8.434922733378232e-004	-1.180019e+001
8.453496657500207e-004	-1.170759e+001
8.485981320145442e-004	-1.154254e+001
8.503283917983620e-004	-1.145300e+001
8.516168913433146e-004	-1.138521e+001
8.528459540477632e-004	-1.131980e+001
8.537431369316922e-004	-1.127166e+001
8.541563164589303e-004	-1.124936e+001
8.545659182417446e-004	-1.122713e+001
8.551686019003428e-004	-1.119430e+001
8.558247879853539e-004	-1.115838e+001
8.566688663095567e-004	-1.111187e+001
8.576968977043907e-004	-1.105475e+001
8.595381516301598e-004	-1.095122e+001
8.619035908766859e-004	-1.081596e+001
8.655466267779082e-004	-1.060266e+001
