Freq.	V(n001)/1A
1.54549812627976e+000	(-4.75610757110383e+001dB,-1.65002649260106e+002°)
1.60000000000001e+000	(-4.75397870663002e+001dB,-1.65487686284840e+002°)
1.65642387814621e+000	(-4.75198291130356e+001dB,-1.65958521838979e+002°)
1.71483754005808e+000	(-4.75011242633268e+001dB,-1.66415426587217e+002°)
1.77531115530856e+000	(-4.74835987686264e+001dB,-1.66858679997447e+002°)
1.83791736799527e+000	(-4.74671826146960e+001dB,-1.67288568672555e+002°)
1.90273138400437e+000	(-4.74518094079561e+001dB,-1.67705384816734e+002°)
1.96983106135188e+000	(-4.74374162550499e+001dB,-1.68109424831466e+002°)
2.03929700371083e+000	(-4.74239436375373e+001dB,-1.68500988035620e+002°)
2.11121265723664e+000	(-4.74113352830193e+001dB,-1.68880375503681e+002°)
2.18566441080705e+000	(-4.73995380344344e+001dB,-1.69247889015762e+002°)
2.26274169979697e+000	(-4.73885017183584e+001dB,-1.69603830112895e+002°)
2.34253711351302e+000	(-4.73781790135455e+001dB,-1.69948499251030e+002°)
2.42514650641665e+000	(-4.73685253204883e+001dB,-1.70282195047150e+002°)
2.51066911326962e+000	(-4.73594986328495e+001dB,-1.70605213611063e+002°)
2.59920766833997e+000	(-4.73510594112038e+001dB,-1.70917847956545e+002°)
2.69086852881191e+000	(-4.73431704598349e+001dB,-1.71220387485736e+002°)
2.78576180254762e+000	(-4.73357968067635e+001dB,-1.71513117540938e+002°)
2.88400148035468e+000	(-4.73289055874975e+001dB,-1.71796319018222e+002°)
2.98570557291781e+000	(-4.73224659326594e+001dB,-1.72070268037529e+002°)
3.09099625255953e+000	(-4.73164488597273e+001dB,-1.72335235664290e+002°)
3.20000000000002e+000	(-4.73108271689336e+001dB,-1.72591487677828e+002°)
3.31284775629243e+000	(-4.73055753434944e+001dB,-1.72839284382169e+002°)
3.42967508011616e+000	(-4.73006694541256e+001dB,-1.73078880455149e+002°)
3.55062231061713e+000	(-4.72960870678165e+001dB,-1.73310524832003e+002°)
3.67583473599054e+000	(-4.72918071609279e+001dB,-1.73534460619915e+002°)
3.80546276800874e+000	(-4.72878100364106e+001dB,-1.73750925040277e+002°)
3.93966212270376e+000	(-4.72840772452060e+001dB,-1.73960149395632e+002°)
4.07859400742167e+000	(-4.72805915115667e+001dB,-1.74162359058577e+002°)
4.22242531447330e+000	(-4.72773366623241e+001dB,-1.74357773480085e+002°)
4.37132882161410e+000	(-4.72742975599052e+001dB,-1.74546606214936e+002°)
4.52548339959394e+000	(-4.72714600389953e+001dB,-1.74729064962174e+002°)
4.68507422702604e+000	(-4.72688108466427e+001dB,-1.74905351618647e+002°)
4.85029301283332e+000	(-4.72663375857535e+001dB,-1.75075662343922e+002°)
5.02133822653925e+000	(-4.72640286617890e+001dB,-1.75240187634978e+002°)
5.19841533667995e+000	(-4.72618732325420e+001dB,-1.75399112409265e+002°)
5.38173705762382e+000	(-4.72598611607732e+001dB,-1.75552616094838e+002°)
5.57152360509524e+000	(-4.72579829697238e+001dB,-1.75700872726420e+002°)
5.76800296070936e+000	(-4.72562298011986e+001dB,-1.75844051046336e+002°)
5.97141114583562e+000	(-4.72545933761560e+001dB,-1.75982314609404e+002°)
6.18199250511907e+000	(-4.72530659577346e+001dB,-1.76115821890940e+002°)
6.40000000000006e+000	(-4.72516403164562e+001dB,-1.76244726397130e+002°)
6.62569551258488e+000	(-4.72503096976590e+001dB,-1.76369176777118e+002°)
6.85935016023234e+000	(-4.72490677908016e+001dB,-1.76489316936201e+002°)
7.10124462123427e+000	(-4.72479087007968e+001dB,-1.76605286149638e+002°)
7.35166947198109e+000	(-4.72468269210846e+001dB,-1.76717219176584e+002°)
7.61092553601749e+000	(-4.72458173085588e+001dB,-1.76825246373755e+002°)
7.87932424540754e+000	(-4.72448750591616e+001dB,-1.76929493808497e+002°)
8.15718801484335e+000	(-4.72439956868718e+001dB,-1.77030083370879e+002°)
8.44485062894660e+000	(-4.72431750021821e+001dB,-1.77127132884619e+002°)
8.74265764322822e+000	(-4.72424090928904e+001dB,-1.77220756216562e+002°)
9.05096679918790e+000	(-4.72416943058963e+001dB,-1.77311063384527e+002°)
9.37014845405209e+000	(-4.72410272301404e+001dB,-1.77398160663338e+002°)
9.70058602566664e+000	(-4.72404046807621e+001dB,-1.77482150688921e+002°)
1.00426764530785e+001	(-4.72398236841249e+001dB,-1.77563132560313e+002°)
1.03968306733599e+001	(-4.72392814639117e+001dB,-1.77641201939509e+002°)
1.07634741152477e+001	(-4.72387754281229e+001dB,-1.77716451149054e+002°)
1.11430472101905e+001	(-4.72383031570024e+001dB,-1.77788969267314e+002°)
1.15360059214187e+001	(-4.72378623978497e+001dB,-1.77858842221322e+002°)
1.19428222916713e+001	(-4.72374510278126e+001dB,-1.77926152877542e+002°)
1.23639850102382e+001	(-4.72370670847291e+001dB,-1.77990981129534e+002°)
1.28000000000001e+001	(-4.72367087302595e+001dB,-1.78053403983849e+002°)
1.32513910251698e+001	(-4.72363742481550e+001dB,-1.78113495643135e+002°)
1.37187003204647e+001	(-4.72360620293702e+001dB,-1.78171327586925e+002°)
1.42024892424686e+001	(-4.72357705914344e+001dB,-1.78226968649618e+002°)
1.47033389439622e+001	(-4.72354985309043e+001dB,-1.78280485096758e+002°)
1.52218510720350e+001	(-4.72352445436426e+001dB,-1.78331940698177e+002°)
1.57586484908151e+001	(-4.72350074119968e+001dB,-1.78381396799095e+002°)
1.63143760296867e+001	(-4.72347859990693e+001dB,-1.78428912388798e+002°)
1.68897012578932e+001	(-4.72345792426192e+001dB,-1.78474544166980e+002°)
1.74853152864565e+001	(-4.72343861510948e+001dB,-1.78518346607760e+002°)
1.81019335983758e+001	(-4.72342057983917e+001dB,-1.78560372021445e+002°)
1.87402969081042e+001	(-4.72340373188209e+001dB,-1.78600670614067e+002°)
1.94011720513333e+001	(-4.72338799110455e+001dB,-1.78639290544581e+002°)
2.00853529061570e+001	(-4.72337328059975e+001dB,-1.78676277980433e+002°)
2.07936613467199e+001	(-4.72335952972116e+001dB,-1.78711677150110e+002°)
2.15269482304953e+001	(-4.72334667390014e+001dB,-1.78745530394032e+002°)
2.22860944203810e+001	(-4.72333465068818e+001dB,-1.78777878213997e+002°)
2.30720118428375e+001	(-4.72332340240374e+001dB,-1.78808759319616e+002°)
2.38856445833426e+001	(-4.72331287499846e+001dB,-1.78838210673338e+002°)
2.47279700204763e+001	(-4.72330301866311e+001dB,-1.78866267533267e+002°)
2.56000000000003e+001	(-4.72329378465609e+001dB,-1.78892963494718e+002°)
2.65027820503396e+001	(-4.72328512861189e+001dB,-1.78918330528808e+002°)
2.74374006409294e+001	(-4.72327701038963e+001dB,-1.78942399019755e+002°)
2.84049784849372e+001	(-4.72326939029064e+001dB,-1.78965197801099e+002°)
2.94066778879245e+001	(-4.72326223240705e+001dB,-1.78986754188829e+002°)
3.04437021440700e+001	(-4.72325550027344e+001dB,-1.79007094014266e+002°)
3.15172969816302e+001	(-4.72324916363065e+001dB,-1.79026241652975e+002°)
3.26287520593735e+001	(-4.72324319135468e+001dB,-1.79044220054862e+002°)
3.37794025157865e+001	(-4.72323755474919e+001dB,-1.79061050770468e+002°)
3.49706305729130e+001	(-4.72323222673720e+001dB,-1.79076753976503e+002°)
3.62038671967517e+001	(-4.72322718243066e+001dB,-1.79091348499462e+002°)
3.74805938162085e+001	(-4.72322239549694e+001dB,-1.79104851838721e+002°)
3.88023441026667e+001	(-4.72321784499998e+001dB,-1.79117280185458e+002°)
4.01707058123142e+001	(-4.72321350911309e+001dB,-1.79128648443321e+002°)
4.15873226934398e+001	(-4.72320936488027e+001dB,-1.79138970246171e+002°)
4.30538964609907e+001	(-4.72320539520945e+001dB,-1.79148257972226e+002°)
4.45721888407621e+001	(-4.72320157821887e+001dB,-1.79156522761693e+002°)
4.61440236856751e+001	(-4.72319789766330e+001dB,-1.79163774526925e+002°)
4.77712891666852e+001	(-4.72319433586814e+001dB,-1.79170021966188e+002°)
4.94559400409527e+001	(-4.72319087359668e+001dB,-1.79175272574099e+002°)
5.12000000000007e+001	(-4.72318749633774e+001dB,-1.79179532648404e+002°)
5.30055641006792e+001	(-4.72318418783813e+001dB,-1.79182807299510e+002°)
5.48748012818590e+001	(-4.72318093081453e+001dB,-1.79185100456388e+002°)
5.68099569698744e+001	(-4.72317771030050e+001dB,-1.79186414869982e+002°)
5.88133557758490e+001	(-4.72317451084845e+001dB,-1.79186752117455e+002°)
6.08874042881402e+001	(-4.72317131706094e+001dB,-1.79186112603835e+002°)
6.30345939632606e+001	(-4.72316811359149e+001dB,-1.79184495562487e+002°)
6.52575041187471e+001	(-4.72316488504739e+001dB,-1.79181899054211e+002°)
