time	V(n001)
4.539440193937448e-004	4.023525e-001
4.539599481392788e-004	4.022173e-001
4.539654743207751e-004	4.021703e-001
4.539681333957234e-004	4.021478e-001
4.539705073704865e-004	4.021276e-001
4.539734444519899e-004	4.021026e-001
4.539771170023828e-004	4.020715e-001
4.539899125689756e-004	4.019628e-001
4.540043335431487e-004	4.018404e-001
4.540174171386771e-004	4.017293e-001
4.540305007342055e-004	4.016181e-001
4.540435843297340e-004	4.015070e-001
4.540566679252625e-004	4.013959e-001
4.540697515207909e-004	4.012848e-001
4.540828351163193e-004	4.011737e-001
4.540959187118478e-004	4.010625e-001
4.541451282672728e-004	4.006446e-001
4.541943378226979e-004	4.002266e-001
4.542435473781229e-004	3.998085e-001
4.542927569335479e-004	3.993904e-001
4.543419664889730e-004	3.989723e-001
4.543911760443980e-004	3.985541e-001
4.544403855998231e-004	3.981359e-001
4.547376019516898e-004	3.956091e-001
4.550348183035564e-004	3.930809e-001
4.553320346554230e-004	3.905514e-001
4.556292510072897e-004	3.880205e-001
4.559264673591564e-004	3.854883e-001
4.562236837110230e-004	3.829546e-001
4.565209000628896e-004	3.804196e-001
4.570209000628897e-004	3.761524e-001
4.575209000628898e-004	3.718815e-001
4.590209000628900e-004	3.590468e-001
4.616637572057475e-004	3.363406e-001
4.643066143486050e-004	3.135574e-001
4.669494714914624e-004	2.906973e-001
4.695923286343200e-004	2.677601e-001
4.722351857771774e-004	2.447460e-001
4.748780429200350e-004	2.216550e-001
4.775209000628924e-004	1.984869e-001
4.783066143486068e-004	1.915926e-001
4.790923286343212e-004	1.846940e-001
4.798780429200356e-004	1.777911e-001
4.806637572057500e-004	1.708840e-001
4.814494714914644e-004	1.639727e-001
4.822351857771788e-004	1.570571e-001
4.830209000628932e-004	1.501372e-001
4.840209000628933e-004	1.413254e-001
4.850209000628934e-004	1.325081e-001
4.855209000628935e-004	1.280974e-001
4.860209000628936e-004	1.236854e-001
4.865209000628936e-004	1.192723e-001
4.870209000628937e-004	1.148579e-001
4.875209000628938e-004	1.104425e-001
4.880209000628938e-004	1.060259e-001
4.885209000628939e-004	1.016083e-001
4.890209000628940e-004	9.718968e-002
4.895209000628940e-004	9.277011e-002
4.900209000628941e-004	8.834962e-002
4.905209000628942e-004	8.392826e-002
4.910209000628942e-004	7.950607e-002
4.915209000628943e-004	7.508310e-002
4.920209000628944e-004	7.065938e-002
4.925209000628944e-004	6.623498e-002
4.930209000628945e-004	6.180991e-002
4.935209000628946e-004	5.738424e-002
4.940209000628946e-004	5.295800e-002
4.945209000628947e-004	4.853123e-002
4.955209000628948e-004	3.967632e-002
4.965209000628950e-004	3.081983e-002
4.975209000628951e-004	2.196213e-002
4.990209000628953e-004	8.674055e-003
5.005209000628955e-004	-4.614786e-003
5.020209000628957e-004	-1.790322e-002
5.030209000628958e-004	-2.676136e-002
5.040209000628960e-004	-3.561845e-002
5.050209000628961e-004	-4.447413e-002
5.060209000628962e-004	-5.332805e-002
5.065209000628963e-004	-5.775425e-002
5.070209000628964e-004	-6.217987e-002
5.075209000628964e-004	-6.660488e-002
5.080209000628965e-004	-7.102924e-002
5.085209000628966e-004	-7.545289e-002
5.090209000628966e-004	-7.987580e-002
5.095209000628967e-004	-8.429792e-002
5.100209000628967e-004	-8.871920e-002
5.105209000628968e-004	-9.313962e-002
5.110209000628969e-004	-9.755911e-002
5.115209000628969e-004	-1.019776e-001
5.120209000628970e-004	-1.063952e-001
5.125209000628971e-004	-1.108116e-001
5.130209000628971e-004	-1.152270e-001
5.135209000628972e-004	-1.196413e-001
5.140209000628973e-004	-1.240543e-001
5.145209000628973e-004	-1.284662e-001
5.150209000628974e-004	-1.328767e-001
5.160209000628975e-004	-1.416939e-001
5.170209000628977e-004	-1.505055e-001
5.185209000628979e-004	-1.637116e-001
5.200209000628981e-004	-1.769031e-001
5.213066143486125e-004	-1.881996e-001
5.225923286343270e-004	-1.994819e-001
5.238780429200414e-004	-2.107500e-001
5.251637572057559e-004	-2.220041e-001
5.264494714914703e-004	-2.332440e-001
5.277351857771849e-004	-2.444699e-001
5.290209000628993e-004	-2.556816e-001
5.429695916072533e-004	-3.760721e-001
5.430858615668258e-004	-3.770648e-001
5.432021315263984e-004	-3.780573e-001
5.433184014859709e-004	-3.790495e-001
5.434346714455435e-004	-3.800416e-001
5.435509414051159e-004	-3.810334e-001
5.436672113646885e-004	-3.820250e-001
5.437834813242610e-004	-3.830165e-001
5.443679373953374e-004	-3.879969e-001
5.449513530125800e-004	-3.929629e-001
5.454513530125801e-004	-3.972148e-001
5.459513530125801e-004	-4.014632e-001
5.463815407939898e-004	-4.051156e-001
5.466244715978356e-004	-4.071767e-001
5.468862703389029e-004	-4.093968e-001
5.470554453159430e-004	-4.108309e-001
5.471544523845085e-004	-4.116699e-001
5.472453189284403e-004	-4.124397e-001
5.473642569976903e-004	-4.134472e-001
5.474860470621233e-004	-4.144787e-001
5.475403738377984e-004	-4.149387e-001
5.476000386151496e-004	-4.154438e-001
5.476650802123412e-004	-4.159945e-001
5.477380255736711e-004	-4.166119e-001
5.478116496238396e-004	-4.172350e-001
5.478818197849045e-004	-4.178288e-001
5.479464953254737e-004	-4.183760e-001
5.480758464066118e-004	-4.194702e-001
5.481540139346799e-004	-4.201313e-001
5.482450275489687e-004	-4.209009e-001
5.483922460751639e-004	-4.221455e-001
5.484837620791127e-004	-4.229190e-001
5.485950172509665e-004	-4.238591e-001
5.487388028102844e-004	-4.250739e-001
5.488764876325576e-004	-4.262367e-001
5.495261060012807e-004	-4.317183e-001
5.544546774298528e-004	-4.731672e-001
5.593832488584249e-004	-5.140659e-001
5.643118202869969e-004	-5.544144e-001
5.692403917155691e-004	-5.942128e-001
5.741689631441412e-004	-6.334609e-001
5.790975345727132e-004	-6.721589e-001
5.840261060012853e-004	-7.103068e-001
5.886689631441431e-004	-7.456026e-001
5.933118202870008e-004	-7.801922e-001
5.979546774298586e-004	-8.140755e-001
6.025975345727164e-004	-8.472526e-001
6.072403917155741e-004	-8.797233e-001
6.118832488584318e-004	-9.114878e-001
6.165261060012896e-004	-9.425461e-001
6.253118202870050e-004	-9.993370e-001
6.340975345727205e-004	-1.052708e+000
6.428832488584359e-004	-1.102658e+000
6.516689631441515e-004	-1.149189e+000
6.604546774298669e-004	-1.192299e+000
6.692403917155824e-004	-1.231989e+000
6.780261060012978e-004	-1.268259e+000
6.785261060012978e-004	-1.270189e+000
6.909546774298709e-004	-1.314421e+000
7.033832488584440e-004	-1.350248e+000
7.158118202870171e-004	-1.377669e+000
7.282403917155902e-004	-1.396683e+000
7.406689631441633e-004	-1.407292e+000
7.530975345727363e-004	-1.409495e+000
7.655261060013094e-004	-1.403293e+000
7.744546774298820e-004	-1.393220e+000
7.833832488584546e-004	-1.378916e+000
7.923118202870273e-004	-1.360380e+000
8.012403917155999e-004	-1.337612e+000
8.101689631441725e-004	-1.310612e+000
8.190975345727451e-004	-1.279381e+000
8.280261060013177e-004	-1.243919e+000
8.285261060013178e-004	-1.241827e+000
8.383118202870333e-004	-1.197932e+000
8.480975345727489e-004	-1.150008e+000
8.578832488584645e-004	-1.098054e+000
8.676689631441801e-004	-1.042071e+000
8.774546774298957e-004	-9.820579e-001
