time	V(n002)-5.4261mV
2.759300000013528e-004	2.792274e-001
2.819300000013823e-004	2.772988e-001
2.879300000014117e-004	2.749761e-001
2.939300000014411e-004	2.722627e-001
2.999300000014705e-004	2.691624e-001
3.059300000014999e-004	2.656795e-001
3.119300000015294e-004	2.618191e-001
3.179300000015588e-004	2.575866e-001
3.239300000015882e-004	2.529881e-001
3.299300000016176e-004	2.480301e-001
3.359300000016470e-004	2.427196e-001
3.419300000016765e-004	2.370642e-001
3.479300000017059e-004	2.310719e-001
3.539300000017353e-004	2.247512e-001
3.599300000017647e-004	2.181112e-001
3.659300000017941e-004	2.111612e-001
3.719300000018235e-004	2.039111e-001
3.779300000018530e-004	1.963712e-001
3.839300000018824e-004	1.885523e-001
3.899300000019118e-004	1.804654e-001
3.959300000019412e-004	1.721221e-001
4.019300000019706e-004	1.635341e-001
4.079300000020001e-004	1.547138e-001
4.139300000020295e-004	1.456736e-001
4.199300000020589e-004	1.364264e-001
4.259300000020883e-004	1.269853e-001
4.319300000021177e-004	1.173638e-001
4.327842857164076e-004	1.159799e-001
4.336385714306975e-004	1.145927e-001
4.344928571449875e-004	1.132023e-001
4.353471428592774e-004	1.118087e-001
4.362014285735673e-004	1.104118e-001
4.370557142878572e-004	1.090117e-001
4.379100000021471e-004	1.076083e-001
4.379300000021472e-004	1.075754e-001
4.439300000021766e-004	9.763423e-002
4.499300000022060e-004	8.755428e-002
4.559300000022354e-004	7.734990e-002
4.619300000022648e-004	6.703560e-002
4.679300000022943e-004	5.662602e-002
4.739300000023237e-004	4.613598e-002
4.799300000023531e-004	3.558037e-002
4.859300000023825e-004	2.497419e-002
4.919300000024119e-004	1.433252e-002
4.979300000024414e-004	3.670478e-003
4.986728571453021e-004	2.349670e-003
4.994157142881629e-004	1.028884e-003
5.001585714310237e-004	-2.918813e-004
5.009014285738845e-004	-1.612625e-003
5.016442857167453e-004	-2.933348e-003
5.023871428596061e-004	-4.254050e-003
5.031300000024669e-004	-5.574731e-003
5.039300000024708e-004	-6.996793e-003
5.099300000025002e-004	-1.765413e-002
5.159300000025296e-004	-2.828637e-002
5.219300000025590e-004	-3.887844e-002
5.279300000025885e-004	-4.941526e-002
5.339300000026179e-004	-5.988186e-002
5.399300000026473e-004	-7.026335e-002
5.459300000026767e-004	-8.054502e-002
5.519300000027061e-004	-9.071224e-002
5.527842857169960e-004	-9.214981e-002
5.536385714312859e-004	-9.358462e-002
5.544928571455758e-004	-9.501667e-002
5.553471428598657e-004	-9.644597e-002
5.562014285741556e-004	-9.787251e-002
5.570557142884455e-004	-9.929629e-002
5.579100000027355e-004	-1.007173e-001
5.579300000027355e-004	-1.007505e-001
5.639300000027650e-004	-1.106457e-001
5.647842857170549e-004	-1.120422e-001
5.656385714313448e-004	-1.134354e-001
5.664928571456347e-004	-1.148253e-001
5.673471428599246e-004	-1.162118e-001
5.682014285742145e-004	-1.175950e-001
5.690557142885044e-004	-1.189749e-001
5.699100000027943e-004	-1.203514e-001
5.699300000027944e-004	-1.203836e-001
5.707842857170843e-004	-1.217566e-001
5.716385714313742e-004	-1.231260e-001
5.724928571456641e-004	-1.244918e-001
5.733471428599540e-004	-1.258540e-001
5.742014285742439e-004	-1.272125e-001
5.750557142885338e-004	-1.285675e-001
5.759100000028237e-004	-1.299189e-001
5.759300000028238e-004	-1.299505e-001
5.819300000028532e-004	-1.393327e-001
5.879300000028826e-004	-1.485168e-001
5.939300000029121e-004	-1.574900e-001
5.999300000029415e-004	-1.662394e-001
6.059300000029709e-004	-1.747525e-001
6.119300000030003e-004	-1.830173e-001
6.179300000030297e-004	-1.910220e-001
6.239300000030592e-004	-1.987553e-001
6.299300000030886e-004	-2.062061e-001
6.359300000031180e-004	-2.133639e-001
6.419300000031474e-004	-2.202185e-001
6.479300000031768e-004	-2.267602e-001
6.539300000032063e-004	-2.329797e-001
6.599300000032357e-004	-2.388680e-001
6.659300000032651e-004	-2.444170e-001
6.719300000032945e-004	-2.496186e-001
6.779300000033239e-004	-2.544655e-001
6.839300000033534e-004	-2.589508e-001
6.899300000033828e-004	-2.630681e-001
6.959300000034122e-004	-2.668115e-001
7.019300000034416e-004	-2.701759e-001
7.079300000034710e-004	-2.731563e-001
7.139300000035005e-004	-2.757485e-001
7.199300000035299e-004	-2.779489e-001
7.259300000035593e-004	-2.797543e-001
7.319300000035887e-004	-2.811622e-001
7.379300000036181e-004	-2.821705e-001
7.439300000036475e-004	-2.827779e-001
7.499300000036770e-004	-2.829834e-001
7.559300000037064e-004	-2.827868e-001
7.619300000037358e-004	-2.821883e-001
7.679300000037652e-004	-2.811888e-001
7.739300000037946e-004	-2.797898e-001
7.799300000038241e-004	-2.779932e-001
7.859300000038535e-004	-2.758015e-001
7.919300000038829e-004	-2.732179e-001
7.979300000039123e-004	-2.702460e-001
8.039300000039417e-004	-2.668901e-001
8.099300000039712e-004	-2.631550e-001
8.159300000040006e-004	-2.590459e-001
8.219300000040300e-004	-2.545687e-001
8.279300000040594e-004	-2.497297e-001
8.339300000040888e-004	-2.445359e-001
8.399300000041183e-004	-2.389945e-001
8.459300000041477e-004	-2.331136e-001
8.519300000041771e-004	-2.269014e-001
8.579300000042065e-004	-2.203668e-001
8.639300000042359e-004	-2.135190e-001
8.699300000042654e-004	-2.063677e-001
8.759300000042948e-004	-1.989233e-001
8.819300000043242e-004	-1.911961e-001
8.879300000043536e-004	-1.831973e-001
8.939300000043830e-004	-1.749381e-001
8.999300000044124e-004	-1.664303e-001
9.059300000044419e-004	-1.576861e-001
9.119300000044713e-004	-1.487178e-001
9.179300000045007e-004	-1.395381e-001
9.239300000045301e-004	-1.301601e-001
9.247842857188200e-004	-1.288094e-001
9.256385714331099e-004	-1.274551e-001
9.264928571473998e-004	-1.260972e-001
9.273471428616897e-004	-1.247357e-001
9.282014285759796e-004	-1.233705e-001
9.290557142902695e-004	-1.220018e-001
9.299100000045594e-004	-1.206294e-001
9.299300000045595e-004	-1.205972e-001
9.307842857188494e-004	-1.192213e-001
9.316385714331394e-004	-1.178420e-001
9.324928571474293e-004	-1.164594e-001
9.333471428617192e-004	-1.150735e-001
9.342014285760091e-004	-1.136842e-001
9.350557142902990e-004	-1.122916e-001
9.359100000045889e-004	-1.108957e-001
9.359300000045890e-004	-1.108629e-001
9.419300000046184e-004	-1.009711e-001
9.427842857189083e-004	-9.955060e-002
9.436385714331982e-004	-9.812733e-002
9.444928571474881e-004	-9.670129e-002
9.453471428617780e-004	-9.527249e-002
9.462014285760679e-004	-9.384092e-002
9.470557142903578e-004	-9.240658e-002
9.479100000046477e-004	-9.096948e-002
9.479300000046478e-004	-9.093580e-002
9.539300000046685e-004	-8.077127e-002
9.599300000046329e-004	-7.049199e-002
9.659300000045973e-004	-6.011253e-002
9.719300000045616e-004	-4.964764e-002
9.779300000045260e-004	-3.911221e-002
9.839300000044904e-004	-2.852120e-002
9.899300000044548e-004	-1.788966e-002
9.959300000044191e-004	-7.232711e-003
9.964385714329876e-004	-6.328702e-003
9.969471428615559e-004	-5.424652e-003
9.974557142901244e-004	-4.520560e-003
9.979642857186927e-004	-3.616426e-003
9.984728571472612e-004	-2.712251e-003
9.989814285758295e-004	-1.808033e-003
9.994900000043980e-004	-9.037741e-004
1.001930000004384e-003	3.434507e-003
1.007930000004348e-003	1.409684e-002
1.013930000004312e-003	2.473913e-002
1.019930000004277e-003	3.534628e-002
1.025930000004241e-003	4.590317e-002
1.031930000004205e-003	5.639485e-002
1.037930000004170e-003	6.680637e-002
1.043930000004134e-003	7.712296e-002
1.049930000004098e-003	8.732993e-002
1.055930000004063e-003	9.741280e-002
1.061930000004027e-003	1.073573e-001
1.062784285718308e-003	1.087612e-001
1.063638571432589e-003	1.101619e-001
1.064492857146869e-003	1.115593e-001
1.065347142861150e-003	1.129535e-001
1.066201428575430e-003	1.143445e-001
1.067055714289711e-003	1.157322e-001
1.067910000003992e-003	1.171168e-001
1.067930000003992e-003	1.171491e-001
1.073930000003956e-003	1.267745e-001
