Freq.	V(ampli:n003)	V(ampli:n010)
5.09824250927707e-001	(1.72158594165311e+001dB,-9.60866291643854e+001°)	(1.91407620306806e+001dB,-9.60836022769232e+001°)
5.27803164309160e-001	(1.75063563112727e+001dB,-9.67077944451204e+001°)	(1.94312589276366e+001dB,-9.67047050442880e+001°)
5.46416102701760e-001	(1.77956954661210e+001dB,-9.73353457707974e+001°)	(1.97205980846679e+001dB,-9.73321901462923e+001°)
5.65685424949240e-001	(1.80838303675509e+001dB,-9.79698261026113e+001°)	(2.00087329882472e+001dB,-9.79666004645614e+001°)
5.85634278378253e-001	(1.83707101597597e+001dB,-9.86117698100953e+001°)	(2.02956127825686e+001dB,-9.86084702845045e+001°)
6.06286626604162e-001	(1.86562795764071e+001dB,-9.92617014592510e+001°)	(2.05811822012905e+001dB,-9.92583240833425e+001°)
6.27667278317403e-001	(1.89404788748616e+001dB,-9.99201344862785e+001°)	(2.08653815017809e+001dB,-9.99166752037334e+001°)
6.49801917084991e-001	(1.92232437747181e+001dB,-1.00587569749292e+002°)	(2.11481464036321e+001dB,-1.00584024405374e+002°)
6.72717132202974e-001	(1.95045054024606e+001dB,-1.01264493950892e+002°)	(2.14294080333257e+001dB,-1.01260858287458e+002°)
6.96440450636902e-001	(1.97841902448932e+001dB,-1.01951377927872e+002°)	(2.17090928776665e+001dB,-1.01947647578251e+002°)
7.21000370088667e-001	(2.00622201142245e+001dB,-1.02648674805718e+002°)	(2.19871227488632e+001dB,-1.02644845289470e+002°)
7.46426393229449e-001	(2.03385121272282e+001dB,-1.03356818014265e+002°)	(2.22634147636891e+001dB,-1.03352884731794e+002°)
7.72749063139880e-001	(2.06129787015808e+001dB,-1.04076219164660e+002°)	(2.25378813398202e+001dB,-1.04072177391691e+002°)
8.00000000000004e-001	(2.08855275725988e+001dB,-1.04807265789659e+002°)	(2.28104302125760e+001dB,-1.04803110671563e+002°)
8.28211939073106e-001	(2.11560618343012e+001dB,-1.05550318953879e+002°)	(2.30809644759735e+001dB,-1.05546045499840e+002°)
8.57418770029038e-001	(2.14244800071053e+001dB,-1.06305710736033e+002°)	(2.33493826504348e+001dB,-1.06301313813053e+002°)
8.87655577654280e-001	(2.16906761376468e+001dB,-1.07073741601211e+002°)	(2.36155787825935e+001dB,-1.07069215927947e+002°)
9.18958683997632e-001	(2.19545399321685e+001dB,-1.07854677667463e+002°)	(2.38794425786983e+001dB,-1.07850017807881e+002°)
9.51365692002181e-001	(2.22159569297174e+001dB,-1.08648747894882e+002°)	(2.41408595777945e+001dB,-1.08643948251728e+002°)
9.84915530675938e-001	(2.24748087161575e+001dB,-1.09456141207718e+002°)	(2.43997113657521e+001dB,-1.09451196015797e+002°)
1.01964850185541e+000	(2.27309731848589e+001dB,-1.10277003585453e+002°)	(2.46558758359425e+001dB,-1.10271906904703e+002°)
1.05560632861832e+000	(2.29843248454500e+001dB,-1.11111435145425e+002°)	(2.49092274979960e+001dB,-1.11106180853781e+002°)
1.09283220540352e+000	(2.32347351841759e+001dB,-1.11959487254700e+002°)	(2.51596378381638e+001dB,-1.11954069040744e+002°)
1.13137084989848e+000	(2.34820730784897e+001dB,-1.12821159711598e+002°)	(2.54069757339023e+001dB,-1.12815571066977e+002°)
1.17126855675651e+000	(2.37262052669161e+001dB,-1.13696398037393e+002°)	(2.56511079237371e+001dB,-1.13690632249003e+002°)
1.21257325320832e+000	(2.39669968749739e+001dB,-1.14585090924621e+002°)	(2.58918995331942e+001dB,-1.14579141066543e+002°)
1.25533455663481e+000	(2.42043119982883e+001dB,-1.15487067897320e+002°)	(2.61292146579011e+001dB,-1.15480926822501e+002°)
1.29960383416998e+000	(2.44380143403834e+001dB,-1.16402097229686e+002°)	(2.63629170013876e+001dB,-1.16395757561356e+002°)
1.34543426440595e+000	(2.46679679041674e+001dB,-1.17329884183067e+002°)	(2.65928705665660e+001dB,-1.17323338305878e+002°)
