Freq.	V(n001)/1A
1.65642387814621e+000	(-3.95642654423892e+001dB,1.36895676029798e+001°)
1.71483754005808e+000	(-3.95457496085501e+001dB,1.32439068255879e+001°)
1.77531115530856e+000	(-3.95284016322329e+001dB,1.28115199406047e+001°)
1.83791736799527e+000	(-3.95121521314906e+001dB,1.23921306035018e+001°)
1.90273138400437e+000	(-3.94969353184415e+001dB,1.19854566533104e+001°)
1.96983106135188e+000	(-3.94826888788765e+001dB,1.15912115134310e+001°)
2.03929700371083e+000	(-3.94693538471828e+001dB,1.12091054686526e+001°)
2.11121265723664e+000	(-3.94568744780011e+001dB,1.08388468243875e+001°)
2.18566441080705e+000	(-3.94451981158926e+001dB,1.04801429545269e+001°)
2.26274169979697e+000	(-3.94342750643496e+001dB,1.01327012444307e+001°)
2.34253711351302e+000	(-3.94240584548343e+001dB,9.79622993564272e+000°)
2.42514650641665e+000	(-3.94145041172523e+001dB,9.47043887892804e+000°)
2.51066911326962e+000	(-3.94055704519660e+001dB,9.15504020205647e+000°)
2.59920766833997e+000	(-3.93972183045823e+001dB,8.84974889865691e+000°)
2.69086852881191e+000	(-3.93894108433256e+001dB,8.55428334419274e+000°)
2.78576180254762e+000	(-3.93821134400601e+001dB,8.26836574492314e+000°)
2.88400148035468e+000	(-3.93752935548408e+001dB,7.99172252539684e+000°)
2.98570557291781e+000	(-3.93689206243789e+001dB,7.72408465975959e+000°)
3.09099625255953e+000	(-3.93629659546878e+001dB,7.46518795184872e+000°)
3.20000000000002e+000	(-3.93574026177266e+001dB,7.21477326874420e+000°)
3.31284775629243e+000	(-3.93522053526093e+001dB,6.97258673216452e+000°)
3.42967508011616e+000	(-3.93473504706291e+001dB,6.73837987173788e+000°)
3.55062231061713e+000	(-3.93428157650397e+001dB,6.51190974399568e+000°)
3.67583473599054e+000	(-3.93385804249313e+001dB,6.29293902053443e+000°)
3.80546276800874e+000	(-3.93346249530198e+001dB,6.08123604859993e+000°)
3.93966212270376e+000	(-3.93309310878204e+001dB,5.87657488707034e+000°)
4.07859400742167e+000	(-3.93274817297168e+001dB,5.67873532057146e+000°)
4.22242531447330e+000	(-3.93242608706850e+001dB,5.48750285421064e+000°)
4.37132882161410e+000	(-3.93212535281861e+001dB,5.30266869125226e+000°)
4.52548339959394e+000	(-3.93184456821943e+001dB,5.12402969576817e+000°)
4.68507422702604e+000	(-3.93158242159966e+001dB,4.95138834220665e+000°)
4.85029301283332e+000	(-3.93133768601426e+001dB,4.78455265357436e+000°)
5.02133822653925e+000	(-3.93110921400136e+001dB,4.62333612981872e+000°)
5.19841533667995e+000	(-3.93089593250048e+001dB,4.46755766774347e+000°)
5.38173705762382e+000	(-3.93069683831127e+001dB,4.31704147389494e+000°)
5.57152360509524e+000	(-3.93051099358488e+001dB,4.17161697136231e+000°)
5.76800296070936e+000	(-3.93033752171267e+001dB,4.03111870166851e+000°)
5.97141114583562e+000	(-3.93017560341142e+001dB,3.89538622261534e+000°)
6.18199250511907e+000	(-3.93002447307168e+001dB,3.76426400292357e+000°)
6.40000000000006e+000	(-3.92988341529781e+001dB,3.63760131439589e+000°)
6.62569551258488e+000	(-3.92975176170516e+001dB,3.51525212227955e+000°)
6.85935016023234e+000	(-3.92962888786766e+001dB,3.39707497438109e+000°)
7.10124462123427e+000	(-3.92951421047653e+001dB,3.28293288947674e+000°)
7.35166947198109e+000	(-3.92940718469758e+001dB,3.17269324546708e+000°)
7.61092553601749e+000	(-3.92930730163356e+001dB,3.06622766766012e+000°)
7.87932424540754e+000	(-3.92921408602547e+001dB,2.96341191756516e+000°)
8.15718801484335e+000	(-3.92912709403256e+001dB,2.86412578247544e+000°)
8.44485062894660e+000	(-3.92904591118027e+001dB,2.76825296611956e+000°)
8.74265764322822e+000	(-3.92897015045697e+001dB,2.67568098062009e+000°)
9.05096679918790e+000	(-3.92889945049313e+001dB,2.58630103993478e+000°)
9.37014845405209e+000	(-3.92883347388701e+001dB,2.50000795497046e+000°)
9.70058602566664e+000	(-3.92877190562045e+001dB,2.41670003050079e+000°)
1.00426764530785e+001	(-3.92871445161616e+001dB,2.33627896401862e+000°)
1.03968306733599e+001	(-3.92866083730502e+001dB,2.25864974659241e+000°)
1.07634741152477e+001	(-3.92861080639654e+001dB,2.18372056585374e+000°)
1.11430472101905e+001	(-3.92856411961500e+001dB,2.11140271112747e+000°)
1.15360059214187e+001	(-3.92852055362611e+001dB,2.04161048079783e+000°)
1.19428222916713e+001	(-3.92847989995186e+001dB,1.97426109191347e+000°)
1.23639850102382e+001	(-3.92844196398115e+001dB,1.90927459207019e+000°)
1.28000000000001e+001	(-3.92840656408378e+001dB,1.84657377359326e+000°)
1.32513910251698e+001	(-3.92837353073580e+001dB,1.78608409000423e+000°)
1.37187003204647e+001	(-3.92834270564423e+001dB,1.72773357476889e+000°)
1.42024892424686e+001	(-3.92831394114351e+001dB,1.67145276237305e+000°)
1.47033389439622e+001	(-3.92828709936711e+001dB,1.61717461161159e+000°)
1.52218510720350e+001	(-3.92826205165791e+001dB,1.56483443116381e+000°)
1.57586484908151e+001	(-3.92823867792646e+001dB,1.51436980737299e+000°)
1.63143760296867e+001	(-3.92821686609013e+001dB,1.46572053423221e+000°)
1.68897012578932e+001	(-3.92819651155274e+001dB,1.41882854553156e+000°)
1.74853152864565e+001	(-3.92817751667299e+001dB,1.37363784913126e+000°)
1.81019335983758e+001	(-3.92815979035145e+001dB,1.33009446334168e+000°)
1.87402969081042e+001	(-3.92814324750259e+001dB,1.28814635533898e+000°)
1.94011720513333e+001	(-3.92812780875595e+001dB,1.24774338163046e+000°)
2.00853529061570e+001	(-3.92811340004168e+001dB,1.20883723047804e+000°)
2.07936613467199e+001	(-3.92809995219008e+001dB,1.17138136625227e+000°)
2.15269482304953e+001	(-3.92808740066151e+001dB,1.13533097571008e+000°)
2.22860944203810e+001	(-3.92807568522437e+001dB,1.10064291610613e+000°)
2.30720118428375e+001	(-3.92806474959364e+001dB,1.06727566511734e+000°)
2.38856445833426e+001	(-3.92805454128791e+001dB,1.03518927256811e+000°)
2.47279700204763e+001	(-3.92804501129012e+001dB,1.00434531385443e+000°)
2.56000000000003e+001	(-3.92803611386057e+001dB,9.74706845081763e-001°)
2.65027820503396e+001	(-3.92802780644798e+001dB,9.46238359853115e-001°)
2.74374006409294e+001	(-3.92802004875124e+001dB,9.18905747605115e-001°)
2.84049784849372e+001	(-3.92801280374885e+001dB,8.92676253680230e-001°)
2.94066778879245e+001	(-3.92800603659501e+001dB,8.67518440743468e-001°)
3.04437021440700e+001	(-3.92799971483128e+001dB,8.43402151828069e-001°)
3.15172969816302e+001	(-3.92799380805430e+001dB,8.20298474772738e-001°)
3.26287520593735e+001	(-3.92798828792822e+001dB,7.98179708137188e-001°)
3.37794025157865e+001	(-3.92798312789263e+001dB,7.77019328461359e-001°)
3.49706305729130e+001	(-3.92797830321072e+001dB,7.56791958937837e-001°)
3.62038671967517e+001	(-3.92797379065516e+001dB,7.37473339350716e-001°)
3.74805938162085e+001	(-3.92796956858965e+001dB,7.19040297374920e-001°)
3.88023441026667e+001	(-3.92796561668741e+001dB,7.01470721080408e-001°)
4.01707058123142e+001	(-3.92796191598527e+001dB,6.84743532727930e-001°)
4.15873226934398e+001	(-3.92795844874336e+001dB,6.68838663740859e-001°)
4.30538964609907e+001	(-3.92795519822986e+001dB,6.53737030845741e-001°)
4.45721888407621e+001	(-3.92795214905565e+001dB,6.39420513455181e-001°)
4.61440236856751e+001	(-3.92794928619938e+001dB,6.25871931994254e-001°)
4.77712891666852e+001	(-3.92794659605364e+001dB,6.13075027604008e-001°)
4.94559400409527e+001	(-3.92794406571691e+001dB,6.01014442713733e-001°)
5.12000000000007e+001	(-3.92794168302150e+001dB,5.89675702754316e-001°)
5.30055641006792e+001	(-3.92793943652071e+001dB,5.79045198924142e-001°)
5.48748012818590e+001	(-3.92793731544675e+001dB,5.69110171971282e-001°)
5.68099569698744e+001	(-3.92793530976601e+001dB,5.59858697000417e-001°)
5.88133557758490e+001	(-3.92793340946615e+001dB,5.51279669133460e-001°)
6.08874042881402e+001	(-3.92793160560455e+001dB,5.43362790455285e-001°)
6.30345939632606e+001	(-3.92792988948889e+001dB,5.36098557589503e-001°)
6.52575041187471e+001	(-3.92792825291231e+001dB,5.29478250406251e-001°)
6.75588050315731e+001	(-3.92792668820026e+001dB,5.23493921631076e-001°)
6.99412611458260e+001	(-3.92792518743611e+001dB,5.18138387206713e-001°)
7.24077343935035e+001	(-3.92792374357146e+001dB,5.13405217937440e-001°)
7.49611876324171e+001	(-3.92792234991812e+001dB,5.09288731738810e-001°)
7.76046882053335e+001	(-3.92792099933777e+001dB,5.05783986652562e-001°)
8.03414116246284e+001	(-3.92791968552427e+001dB,5.02886775251601e-001°)
8.31746453868797e+001	(-3.92791840242271e+001dB,5.00593619497902e-001°)
8.61077929219816e+001	(-3.92791714344091e+001dB,4.98901766380912e-001°)
8.91443776815244e+001	(-3.92791590268969e+001dB,4.97809184958148e-001°)
9.22880473713504e+001	(-3.92791467444960e+001dB,4.97314563817282e-001°)
9.55425783333705e+001	(-3.92791345242736e+001dB,4.97417309283272e-001°)
9.89118800819056e+001	(-3.92791223092238e+001dB,4.98117545070619e-001°)
1.02400000000002e+002	(-3.92791100413679e+001dB,4.99416112239852e-001°)
1.06011128201359e+002	(-3.92790976623851e+001dB,5.01314570234475e-001°)
1.09749602563718e+002	(-3.92790851092322e+001dB,5.03815198606349e-001°)
1.13619913939749e+002	(-3.92790723260348e+001dB,5.06921000155062e-001°)
1.17626711551698e+002	(-3.92790592492057e+001dB,5.10635704041789e-001°)
1.21774808576280e+002	(-3.92790458154815e+001dB,5.14963770500791e-001°)
1.26069187926521e+002	(-3.92790319608374e+001dB,5.19910396184363e-001°)
1.30515008237494e+002	(-3.92790176181958e+001dB,5.25481520295836e-001°)
1.35117610063146e+002	(-3.92790027191679e+001dB,5.31683831755867e-001°)
1.39882522291652e+002	(-3.92789871895719e+001dB,5.38524777050109e-001°)
1.44815468787007e+002	(-3.92789709610753e+001dB,5.46012569642335e-001°)
1.49922375264834e+002	(-3.92789539492845e+001dB,5.54156198837516e-001°)
1.55209376410667e+002	(-3.92789360751475e+001dB,5.62965441499529e-001°)
1.60682823249257e+002	(-3.92789172513154e+001dB,5.72450873131893e-001°)
1.66349290773760e+002	(-3.92788973916535e+001dB,5.82623880995485e-001°)
1.72215585843964e+002	(-3.92788763971697e+001dB,5.93496677019491e-001°)
1.78288755363049e+002	(-3.92788541652893e+001dB,6.05082312860593e-001°)
1.84576094742701e+002	(-3.92788305927492e+001dB,6.17394695677644e-001°)
1.91085156666741e+002	(-3.92788055650206e+001dB,6.30448604202425e-001°)
1.97823760163812e+002	(-3.92787789603132e+001dB,6.44259706584688e-001°)
2.04800000000003e+002	(-3.92787506549249e+001dB,6.58844579433786e-001°)
2.12022256402718e+002	(-3.92787205072673e+001dB,6.74220726669274e-001°)
2.19499205127437e+002	(-3.92786883753095e+001dB,6.90406601450955e-001°)
2.27239827879498e+002	(-3.92786541053917e+001dB,7.07421627567988e-001°)
2.35253423103397e+002	(-3.92786175343330e+001dB,7.25286222682465e-001°)
2.43549617152561e+002	(-3.92785784799017e+001dB,7.44021821998842e-001°)
2.52138375853043e+002	(-3.92785367622075e+001dB,7.63650905413297e-001°)
2.61030016474989e+002	(-3.92784921739167e+001dB,7.84197022024966e-001°)
2.70235220126293e+002	(-3.92784445066780e+001dB,8.05684820249090e-001°)
2.79765044583305e+002	(-3.92783935274471e+001dB,8.28140075228386e-001°)
2.89630937574015e+002	(-3.92783389951773e+001dB,8.51589720910706e-001°)
2.99844750529669e+002	(-3.92782806453257e+001dB,8.76061880691934e-001°)
3.10418752821335e+002	(-3.92782181958484e+001dB,9.01585901339637e-001°)
3.21365646498515e+002	(-3.92781513493520e+001dB,9.28192388089773e-001°)
3.32698581547520e+002	(-3.92780797864002e+001dB,9.55913240263470e-001°)
3.44431171687928e+002	(-3.92780031590807e+001dB,9.84781688434655e-001°)
3.56577510726099e+002	(-3.92779211013743e+001dB,1.01483233484492e+000°)
3.69152189485403e+002	(-3.92778332186039e+001dB,1.04610119317041e+000°)
3.82170313333483e+002	(-3.92777390890155e+001dB,1.07862573134516e+000°)
3.95647520327624e+002	(-3.92776382627227e+001dB,1.11244491558361e+000°)
4.09600000000007e+002	(-3.92775302527644e+001dB,1.14759925532352e+000°)
4.24044512805436e+002	(-3.92774145400740e+001dB,1.18413085142827e+000°)
4.38998410254874e+002	(-3.92772905732552e+001dB,1.22208344576962e+000°)
4.54479655758998e+002	(-3.92771577531238e+001dB,1.26150247052379e+000°)
4.70506846206794e+002	(-3.92770154438668e+001dB,1.30243510292523e+000°)
4.87099234305124e+002	(-3.92768629608991e+001dB,1.34493031872999e+000°)
5.04276751706087e+002	(-3.92766995753934e+001dB,1.38903895022079e+000°)
5.22060032949979e+002	(-3.92765244982556e+001dB,1.43481374287399e+000°)
5.40470440252588e+002	(-3.92763368955800e+001dB,1.48230941927685e+000°)
5.59530089166611e+002	(-3.92761358644695e+001dB,1.53158273873466e+000°)
5.79261875148031e+002	(-3.92759204386217e+001dB,1.58269256376884e+000°)
5.99689501059339e+002	(-3.92756895895099e+001dB,1.63569992849625e+000°)
6.20837505642671e+002	(-3.92754422039000e+001dB,1.69066810480720e+000°)
